#SN      Host Galaxy      Date         R.A.    Decl.    Offset   Mag.   Disc. Ref.            SN Position         Posn. Ref.       Type  SN      Discoverer(s)

2013cr  Anon.            2013 05 14  16 11.8 +40 51    2W   3N  17.5   CBET 3532       16 11 46.47 +40 51 22.2   CBET 3532        IIP   2013cr  Zhang, Wang et al. (THU-NAOC Transient Survey)
2013cq  Anon.            2013 04 27  11 32.5 +27 42             12     CBET 3531       11 32 32.84 +27 41 56.2   CBET 3531        Ic    2013cq  Maselli et al. (Swift)
2013cp  Anon.            2013 05 07  16 19.9 +38 56   11E   1S  18.5   CBET 3528       16 19 52.22 +38 56 07.9   CBET 3528        Ia    2013cp  Zhang, Wang et al. (THU-NAOC Transient Survey)
2013co  Anon.            2013 05 06  12 55.8 +30 31    0E   0N  17.7   CBET 3527       12 55 50.51 +30 30 41.5   CBET 3527        Ic    2013co  T.-m. Zhang, Wang, T.-f. Zhang (THU-NAOC Transient Survey)
2013cn  Anon.            2013 05 10  17 58.8 +34 00   18W   5S  19.5   CBET 3526       17 58 50.34 +34 00 16.6   CBET 3526        IIP   2013cn  Howerton, Drake et al. (Catalina Real-time Transient Survey)
2013cm  Anon.            2013 05 10  17 20.0 +23 45    8E  10S  18.3   CBET 3525       17 20 01.94 +23 44 51.3   CBET 3525        Ia-p  2013cm  Drake et al. (Catalina Real-time Transient Survey)
2013cl  Anon.            2013 05 03  16 19.5 +24 47   27E  18S  17.9   CBET 3524       16 19 31.59 +24 47 11.3   CBET 3524        Ia    2013cl  Drake et al. (Catalina Real-time Transient Survey)
2013ck  Anon.            2013 05 08  15 24.5 +48 33    1W   2N  17.5   CBET 3523       15 24 29.07 +48 32 54.6   CBET 3523        Ia    2013ck  Drake et al. (Catalina Real-time Transient Survey)
2013cj  UGC 10685        2013 05 09  17 04.9 +12 55   22E  19S  18.1   CBET 3520       17 04 52.95 +12 55 10.4   CBET 3520        IIn   2013cj  Jin, Gao (Xingming Sky Survey)
2013ci  Anon.            2013 05 04  17 04.9 +09 08    6E  10N  17.1   CBET 3519       17 04 53.68 +09 07 59.6   CBET 3519        Ia    2013ci  Hurtado, Vida et al. (La Sagra Sky Survey)
2013ch  ESO 7-6          2013 04 30  12 41.7 -84 28   34W   2N  16.9   CBET 3518       12 41 43.41 -84 27 52.4   CBET 3518        IIb   2013ch  Marples
2013cg  NGC 2891         2013 05 06  09 26.9 -24 47    2E   1S  13.3   CBET 3517       09 26 56.77 -24 46 59.6   CBET 3517        Ia    2013cg  Pignata et al. (CHASE)
2013cf  Anon.            2013 04 29  11 34.6 +54 53    5W   5S  18.1   CBET 3516       11 34 36.49 +54 53 24.4   CBET 3516        IIP   2013cf  Arbour
2013ce  Anon.            2013 05 01  11 35.8 +34 17    4W   7N  17.3   CBET 3515       11 35 50.80 +34 17 02.7   CBET 3515        IIP   2013ce  Balanutsa (MASTER-Kislovodsk)
2013cd  UGC 4294         2013 04 28  08 16.8 +60 29    2W   6S  17.0   CBET 3514       08 16 49.00 +60 29 28.5   CBET 3514        Ia?   2013cd  Rich et al.
2013cc  NGC 1961         2013 04 28  05 42.0 +69 22   31W  62S  17.0   CBET 3512       05 41 58.76 +69 21 40.9   CBET 3512        II    2013cc  Itagaki
2013cb  Anon.            2013 05 01  11 35.0 +16 07    2W   5S  18.1   CBET 3509       11 35 01.74 +16 07 16.8   CBET 3509        Ia    2013cb  Zhang, Wang et al. (THU-NAOC Transient Survey)
2013ca  Anon.            2013 05 01  11 58.7 +19 09    4E   7S  18.1   CBET 3508       11 58 43.25 +19 08 56.2   CBET 3508        IIP   2013ca  Zhang, Wang et al. (THU-NAOC Transient Survey)
2013bz  Anon.            2013 04 21  13 26.9 -10 02    8E   6S  15.7   CBET 3507       13 26 51.32 -10 01 32.2   CBET 3507        Ia    2013bz  Howerton, Drake et al. (Catalina Real-time Transient Survey)
2013by  ESO 138-G10      2013 04 23  16 59.0 -60 12    3W  76N  13.5   CBET 3506       16 59 02.43 -60 11 41.8   CBET 3506        II    2013by  Parker
2013bx  Anon.            2013 04 09  12 47.4 +32 33    3W   3S  19.8   CBET 3501       12 47 24.22 +32 32 50.0   CBET 3501        Ia    2013bx  Zhou, Wang et al. (THU-NAOC Transient Survey)
2013bw  UGC 5886         2013 04 14  10 46.9 -01 23   13E   2N  18.4   CBET 3500       10 46 52.37 -01 23 26.9   CBET 3500        II    2013bw  Howerton, Drake et al. (Catalina Real-time Transient Survey)
2013bv  Anon.            2013 04 09  08 41.4 +52 44    3W   6N  18.7   CBET 3499       08 41 21.28 +52 43 30.3   CBET 3499        Ic?   2013bv  Zhang, Wang et al. (THU-NAOC Transient Survey)
2013bu  NGC 7331         2013 04 21  22 37.0 +34 24   25W  52S  16.6   CBET 3498       22 37 02.17 +34 24 05.2   CBET 3498        II    2013bu  Itagaki
2013bt  Anon.            2013 04 18  14 21.3 +61 34   29W  29S  18.0   CBET 3497       14 21 15.13 +61 34 15.9   CBET 3497        Ia    2013bt  Drake et al. (Catalina Real-time Transient Survey)
2013bs  NGC 6343         2013 04 18  17 17.4 +41 04   65E  50N  17.0   CBET 3494       17 17 22.03 +41 04 00.2   CBET 3494        Ia    2013bs  Drake et al. (Catalina Real-time Transient Survey)
2013br  Anon.            2013 04 14  11 21.5 -03 31         1N  18.2   CBET 3493       11 21 30.88 -03 31 02.8   CBET 3493        II    2013br  Drake et al. (Catalina Real-time Transient Survey)
2013bq  Anon.            2013 04 15  13 04.1 +43 54             18.3   CBET 3492       13 04 08.45 +43 54 07.7   CBET 3492        Ia    2013bq  Drake et al. (Catalina Real-time Transient Survey)
2013bp  Anon.            2013 04 15  12 19.1 +42 25             18.6   CBET 3491       12 19 04.88 +42 24 53.9   CBET 3491        Ia    2013bp  Drake et al. (Catalina Real-time Transient Survey)
2013bo  Anon.            2013 04 15  13 17.5 +42 44             17.6   CBET 3490       13 17 29.19 +42 44 29.6   CBET 3490        Ia    2013bo  Drake et al. (Catalina Real-time Transient Survey)
2013bn  Anon.            2013 04 15  11 48.0 +54 35             17.9   CBET 3489       11 48 02.03 +54 34 38.6   CBET 3489        Ic    2013bn  Drake et al. (Catalina Real-time Transient Survey)
2013bm  UGC 5910         2013 04 16  10 48.4 +38 24   16W  19N  17.9   CBET 3487       10 48 26.57 +38 24 07.9   CBET 3487        II    2013bm  Ciabattari, Mazzoni
2013bl  UGC 4578         2013 04 07  08 46.3 +41 35   11E   7S  18.0   CBET 3484       08 46 15.06 +41 34 40.0   CBET 3484        IIb   2013bl  Rich, Rosebush, Sawyer
2013bk  IC 553           2013 04 07  09 40.8 -05 26   36E   5S  18.3   CBET 3483       09 40 47.55 -05 26 11.9   CBET 3483        Ic    2013bk  Howerton, Drake et al. (Catalina Real-time Transient Survey)
2013bj  Anon.            2013 04 04  14 04.3 -07 03   21E  12S  18.0   CBET 3482       14 04 19.63 -07 03 06.9   CBET 3482        IIP   2013bj  Leonini et al.
2013bi  NGC 6632         2013 03 24  18 25.0 +27 32   13W  13S  16.4   CBET 3481       18 25 01.98 +27 31 53.7   CBET 3481        IIP   2013bi  Jin, Gao (Xingming Sky Survey)
2013bh  Anon.            2013 04 03  15 02.2 +10 39   16W   2N  18.5   CBET 3480       15 02 13.09 +10 38 45.6   CBET 3480        Ia-p  2013bh  Drake et al. (Catalina Real-time Transient Survey)
2013bg  Anon.            2013 04 04  10 20.7 -06 27             18.1   CBET 3479       10 20 42.87 -06 26 56.8   CBET 3479        Ia    2013bg  Drake et al. (Catalina Real-time Transient Survey)
2013bf  Anon.            2013 03 28  08 58.6 +54 19    3W   3N  18.8   CBET 3471       08 58 36.07 +54 19 25.7   CBET 3471        Ia    2013bf  Zhang, Wang et al. (THU-NAOC Transient Survey)
2013be  IC 3573          2013 04 05  12 36.5 +11 45    7E   5S  19.6   CBET 3470       12 36 27.67 +11 45 28.1   CBET 3470        Ia    2013be  Zhang, Wang et al. (THU-NAOC Transient Survey)
2013bd  ESO 583-G5       2013 03 17  15 43.0 -18 24   17E   4N  20.2   CBET 3469       15 42 58.13 -18 23 47.2   CBET 3469        IIb   2013bd  Howerton, Drake et al. (Catalina Real-time Transient Survey)
2013bc  IC 4209          2013 03 31  13 10.4 -07 10   18W  10S  18.1   CBET 3468       13 10 21.31 -07 10 24.1   CBET 3468        Ia    2013bc  Howerton, Drake et al. (Catalina Real-time Transient Survey)
2013bb  NGC 5504         2013 04 03  14 12.2 +15 51   27W   1N  18.4   CBET 3466       14 12 13.96 +15 50 31.5   CBET 3466        IIb   2013bb  Howerton, Drake et al. (Catalina Real-time Transient Survey)
2013ba  Anon.            2013 04 04  13 52.9 +21 56    1E   1N  19.9   CBET 3465       13 52 56.63 +21 56 21.7   CBET 3465        Ia    2013ba  Matsumoto, Tominaga, Tanaka et al. (Kiso Supernova Survey)
2013az  ESO 306-16       2013 03 24  05 39.9 -40 30   15W  17N  17.1   CBET 3457       05 39 52.13 -40 30 28.1   CBET 3457        Ia    2013az  Howerton, Drake et al. (Catalina Real-time Transient Survey)
2013ay  IC 4745          2013 03 26  18 42.6 -64 56   13E  21N  15.1   CBET 3456       18 42 37.86 -64 56 13.5   CBET 3456        Ia    2013ay  Hamuy, Pignata et al. (CHASE)
2013ax  Anon.            2013 03 07  07 20.1 +55 56    4E   6S  17.4   CBET 3455       07 20 03.51 +55 55 48.4   CBET 3455        Ia    2013ax  Zhou, Wang et al. (THU-NAOC Transient Survey)
2013aw  Anon.            2013 03 11  10 31.0 +20 05    6E   2S  20.3   CBET 3453       10 30 58.47 +20 04 52.9   CBET 3453        II    2013aw  Drake et al. (Catalina Real-time Transient Survey)
2013av  Anon.            2013 03 01  12 19.5 +38 02   52W  21S  17.7   CBET 3452       12 19 32.65 +38 02 25.9   CBET 3452        Ia    2013av  Drake et al. (Catalina Real-time Transient Survey)
2013au  Anon.            2013 03 23  12 21.2 +47 30         1N  17.7   CBET 3451       12 21 14.16 +47 29 52.4   CBET 3451        Ia    2013au  Drake et al. (Catalina Real-time Transient Survey)
2013at  Anon.            2013 03 19  18 50.2 +30 21   12W  15S  16.9   CBET 3448       18 50 11.29 +30 20 59.5   CBET 3448        IIP   2013at  Shurpakov (MASTER)
2013as  Anon.            2013 03 15  11 52.9 -18 59             18.1   CBET 3447       11 52 52.34 -18 59 19.9   CBET 3447        Ia    2013as  Drake et al. (Catalina Real-time Transient Survey)
2013ar  Anon.            2013 03 14  08 37.8 +49 29    9W   8S  18.9   CBET 3446       08 37 45.02 +49 28 32.2   CBET 3446        Ia    2013ar  Zhang, Wang et al. (THU-NAOC Transient Survey)
2013aq  NGC 5604         2013 03 13  14 24.7 -03 13    5W  13N  16.7   CBET 3444       14 24 42.57 -03 12 30.9   CBET 3444        IIP   2013aq  Aldous; Parker
2013ap  Anon.            2013 02 18  12 58.4 +12 36    2E   1S  19.5   CBET 3443       12 58 24.92 +12 35 53.3   CBET 3443        Ia    2013ap  Zhou, Wang et al. (THU-NAOC Transient Survey)
2013ao  Anon.            2013 03 04  11 44.7 -20 32             17.0   CBET 3442       11 44 44.74 -20 31 41.1   CBET 3442        Ia    2013ao  Drake et al. (Catalina Real-time Transient Survey)
2013an  Anon.            2013 02 05  12 49.9 +06 21             18.2   CBET 3441       12 49 54.21 +06 20 40.6   CBET 3441        II    2013an  Drake et al. (Catalina Real-time Transient Survey)
2013am  NGC 3623         2013 03 21  11 18.9 +13 04   15E 102S  15.6   CBET 3440       11 18 56.95 +13 03 49.4   CBET 3440        II    2013am  Sugano
2013al  Anon.            2013 03 03  11 14.9 +29 35         3S  19.2   CBET 3438       11 14 54.07 +29 35 06.0   CBET 3438        Ia    2013al  Tanaka et al. (Kiso Supernova Survey)
2013ak  ESO 430-20       2013 03 09  08 07.1 -28 03   25W   2S  13.5   CBET 3437       08 07 06.69 -28 03 10.1   CBET 3437        II    2013ak  Carrasco, Pignata et al. (CHASE)
2013aj  NGC 5339         2013 03 03  13 54.0 -07 56    6E   8N  14.7   CBET 3434       13 54 00.68 -07 55 43.8   CBET 3434        Ia    2013aj  Cortini
2013ai  NGC 2207         2013 03 01  06 16.3 -21 23   51W  11S  17.4   CBET 3431       06 16 18.35 -21 22 32.9   CBET 3431        II    2013ai  Conseil
2013ah  UGC 5201         2013 02 22  09 44.6 +55 46   18W   2S  18.6   CBET 3430       09 44 33.80 +55 45 44.4   CBET 3430        Ia    2013ah  Zhou, Wang et al. (THU-NAOC Transient Survey)
2013ag  Anon.            2013 03 03  12 51.6 +26 38   15W   1N  16.0   CBET 3428       12 51 35.02 +26 37 45.4   CBET 3428        Ia    2013ag  Dhungana et al. (ROTSE)
2013af  Anon.            2013 03 01  09 13.9 +55 47   15E   2S  18.9   CBET 3427       09 13 55.17 +55 46 56.7   CBET 3427        II-P  2013af  Zhou, Wang et al. (THU-NAOC Transient Survey)
2013ae  Anon.            2013 02 19  02 41.9 +43 24    1W   1S  16.2   CBET 3426       02 41 53.16 +43 23 58.9   CBET 3426        Ia    2013ae  Jin, Gao (Xingming Sky Survey)
2013ad  Anon.            2013 02 15  03 38.7 +10 18    4E  13N  17.5   CBET 3425       03 38 41.03 +10 18 27.2   CBET 3425        Ia    2013ad  Drake et al. (Catalina Real-time Transient Survey)
2013ac  Anon.            2013 02 15  09 45.1 +58 40   15E   2S  18.2   CBET 3424       09 45 08.79 +58 40 07.3   CBET 3424        IIP   2013ac  Zhang, Wang et al. (THU-NAOC Transient Survey)
2013ab  NGC 5669         2013 02 17  14 32.7 +09 53    8E  18S  17.6   CBET 3422       14 32 44.49 +09 53 12.3   CBET 3421        II    2013ab  Blanchard, Cenko et al. (LOSS)
2013aa  NGC 5643         2013 02 13  14 32.6 -44 13   74W 180S  11.9   CBET 3416       14 32 33.88 -44 13 27.8   CBET 3416        Ia    2013aa  Parker
2013Z   Anon.            2013 01 24  13 27.9 +30 22    6W   5S  19.0   CBET 3415       13 27 54.89 +30 22 29.4   CBET 3415        IIP   2013Z   Zhang, Wang et al. (THU-NAOC Transient Survey)
2013Y   Anon.            2013 02 06  12 09.7 +16 12    1E   2N  18.7   CBET 3414       12 09 39.70 +16 12 14.3   CBET 3414        Ia    2013Y   Morokuma, Tanaka et al. (Kiso Supernova Survey)
2013X   Anon.            2013 02 06  12 17.3 +46 44    5E   4S  17.9   CBET 3413       12 17 15.19 +46 43 35.9   CBET 3413        Ia    2013X   Ferrante et al. (ROTSE)
2013W   UGC 5448         2013 01 06  10 06.6 +14 26   11E   3S  18.0   CBET 3412       10 06 34.02 +14 25 57.8   CBET 3412        IIn   2013W   Gagliano, Newton, Puckett
2013V   UGC 4798         2013 01 06  09 08.7 +44 49   12W  11N  17.8   CBET 3411       09 08 41.54 +44 48 49.6   CBET 3411        Ia    2013V   Crowley, Newton, Puckett
2013U   Anon.            2013 01 05  10 01.2 +00 20    2E   4S  16.6   CBET 3410       10 01 12.00 +00 19 42.3   CBET 3410        Ia-p  2013U   Gagliano, Newton, Puckett
2013T   UGC 8250         2013 01 22  13 10.3 +32 28    6W  34S  17.0   CBET 3407       13 10 19.68 +32 28 25.7   CBET 3407        Ia    2013T   Howerton, Drake et al. (Catalina Real-time Transient Survey)
2013S   Anon.            2013 01 25  03 35.5 +38 17    0E   0N  16.1   CBET 3406       03 35 30.29 +38 16 59.7   CBET 3406        Ia    2013S   Zhou, Wang et al. (THU-NAOC Transient Survey)
2013R   Anon.            2013 01 06  09 31.6 +35 24    2E  12N  16.7   CBET 3403       09 31 35.12 +35 23 42.4   CBET 3403        Ia    2013R   Shurpakov (MASTER)
2013Q   NGC 7753         2013 01 25  23 47.1 +29 29   34E  11N  17.5   CBET 3401       23 47 07.87 +29 29 11.5   CBET 3401        Ia    2013Q   Xu, Gao (Xingming Sky Survey)
2013P   MCG +05-22-20    2013 01 15  09 13.6 +30 00    2W   0N  17.0   CBET 3399       09 13 37.17 +29 59 58.7   CBET 3399        IIb   2013P   Howerton, Drake et al. (Catalina Sky Survey)
2013O   Anon.            2013 01 21  08 52.1 +52 36         3N  18.3   CBET 3395       08 52 05.98 +52 36 06.2   CBET 3395        Ia    2013O   Zhang, Wang et al. (THU-NAOC Transient Survey)
2013N   Anon.            2013 01 26  11 50.1 +21 17    2E   1S  15.9   CBET 3394       11 50 04.13 +21 16 46.0   CBET 3394        Ia    2013N   Zhou, Wang et al. (THU-NAOC Transient Survey)
2013M   ESO 325-G43      2013 01 20  13 59.9 -37 52   11W   0N  17.4   CBET 3393       13 59 56.68 -37 51 49.4   CBET 3393        Ia    2013M   Parker
2013L   ESO 216-39       2013 01 22  11 45.5 -50 36   20E  24S  15.6   CBET 3392       11 45 29.55 -50 35 53.1   CBET 3392        IIn   2013L   Monard
2013K   Anon.            2013 01 20  17 39.5 -85 19    6E   1S  17.7   CBET 3391       17 39 31.54 -85 18 38.1   CBET 3391        IIP   2013K   Parker
2013J   Anon.            2013 01 19  11 12.8 +28 04    2W   6N  18.8   CBET 3388       11 12 50.30 +28 04 19.7   CBET 3388        Ic    2013J   Tanaka et al. (Kiso Supernova Survey)
2013I   Anon.            2013 01 11  02 49.7 +00 46    9W   0S  18.6   CBET 3386       02 49 42.17 +00 45 35.7   CBET 3386        Ia?   2013I   Tanaka et al. (Kiso Supernova Survey)
2013H   ESO 36-G19       2013 01 06  09 06.5 -75 49   18W  34N  16.5   CBET 3385       09 06 30.70 -75 49 01.5   CBET 3385        Ia    2013H   Parker
2013G   NGC 3947         2013 01 05  11 53.4 +20 45   14E   4N  16.0   CBET 3381       11 53 21.32 +20 45 10.0   CBET 3381        Ia    2013G   Howerton, Drake et al. (Catalina Sky Survey)
2013F   IC 5325          2013 01 05  23 28.8 -41 20   18E   4N  17.1   CBET 3380       23 28 45.03 -41 19 56.2   CBET 3380        Ib/c  2013F   Howerton, Drake et al. (Siding Spring Survey)
2013E   IC 2532          2013 01 04  10 00.1 -34 14    2E  19S  14.8   CBET 3378       10 00 05.52 -34 14 01.3   CBET 3378        Ia    2013E   Parker
2013D   Anon.            2013 01 03  03 41.3 +15 23             17.5   CBET 3377       03 41 15.13 +15 23 03.9   CBET 3377        Ia    2013D   Balanutsa (MASTER)
2013C   Anon.            2013 01 04  11 05.9 +72 31    5W  11S  16.5   CBET 3375       11 05 55.22 +72 31 20.3   CBET 3375        Ia    2013C   Tsuboi
2013B   ESO 60-26        2013 01 03  09 04.0 -72 03    1E   9S  17.2   CBET 3374       09 04 00.80 -72 03 24.8   CBET 3374        Ia    2013B   Parker
2013A   UGC 1825         2013 01 01  02 22.1 +32 14    6E   8S  17.6   CBET 3371       02 22 04.26 +32 13 57.8   CBET 3371        Ia    2013A   Gagliano, Newton, Puckett

2012im  NGC 6984         2012 07 25  20 57.9 -51 52    1W  10S  18.9   CBET 3607       20 57 53.92 -51 52 24.8   CBET 3607        Ic    2012im  Howerton, Drake et al. (Catalina Real-time Transient Survey)
2012il  Anon.            2012 01 21  09 46.2 +19 50             18.1   CBET 3459       09 46 12.85 +19 50 28.2   CBET 3459        Ic    2012il  Drake et al. (Catalina Real-time Transient Survey)
2012ik  Anon.            2012 12 23  07 35.4 +51 53   26E  17N  19.4   CBET 3383       07 35 26.91 +51 52 50.4   CBET 3383        Ia    2012ik  Zhou, Wang et al. (THU-NAOC Transient Survey)
2012ij  Anon.            2012 12 29  11 40.3 +17 27    4W   4S  18.0   CBET 3370       11 40 15.84 +17 27 22.2   CBET 3370        Ia    2012ij  Wang et al. (THU-NAOC Transient Survey)
2012ii  Anon.            2012 12 23  07 16.9 +51 46    0E  12N  19.0   CBET 3369       07 16 55.48 +51 45 47.6   CBET 3369        Ia    2012ii  Zhou, Chen, Wang,, Zhang (THU-NAOC Transient Survey)
2012ih  Anon.            2012 12 10  06 56.7 +48 54    7W   4N  16.4   CBET 3366       06 56 42.91 +48 54 10.3   CBET 3366        Ia    2012ih  Zhang, Zhou, Chen, Wang (THU-NAOC Transient Survey)
2012ig  UGC 11706        2012 12 21  21 14.4 +15 15    6E   2N  16.6   CBET 3364       21 14 22.87 +15 14 40.7   CBET 3364        Ia    2012ig  Xu, Gao (Xingming Sky Survey)
2012if  Anon.            2012 12 20  11 17.5 +51 24    4E   4S  18.3   CBET 3363       11 17 30.29 +51 24 07.4   CBET 3363        Ia    2012if  Dimai
2012ie  Anon.            2012 12 23  02 24.4 +40 51    7E   3N  18.0   CBET 3362       02 24 22.35 +40 51 03.2   CBET 3362        Ia    2012ie  Zhou, Chen, Wang et al. (THU-NAOC Transient Survey)
2012id  Anon.            2012 12 20  04 42.7 +18 35   19W   0N  17.2   CBET 3361       04 42 41.14 +18 34 59.7   CBET 3361        Ia    2012id  Koishikawa
2012ic  Anon.            2012 12 22  03 13.9 +33 58    2W   4N  17.4   CBET 3360       03 13 53.71 +33 58 03.7   CBET 3360        Ia    2012ic  Li Zhou, Xiaofeng Wang et al. (THU-NAOC Transient Survey)
2012ib  UGC 9684         2012 12 20  15 03.9 +42 07   49E   0S  16.0   CBET 3359       15 03 54.87 +42 06 55.3   CBET 3359        Ib/c  2012ib  Shumkov (MASTER)
2012ia  Anon.            2012 12 12  10 35.8 +39 00    1E   0N  17.4   CBET 3358       10 35 48.24 +39 00 27.9   CBET 3358        Ia    2012ia  Drake et al. (Catalina Sky Survey)
2012hz  Anon.            2012 12 10  06 43.7 +52 13    7W  29N  17.6   CBET 3356       06 43 41.89 +52 12 33.7   CBET 3356        Ia    2012hz  Drake et al. (Catalina Sky Survey)
2012hy  NGC 4903         2012 11 11  13 01.4 -30 56    8E  24S  16.5   CBET 3355       13 01 23.41 -30 56 29.2   CBET 3355        Ia    2012hy  Monard
