Download  Object Name SN Type SNID Match  Filename  Observation Date  Phase (Peak | Discovery)  Instrument  Wavelength Range  S/N Ratio Observer | Reducer  Reference
SN 2004ef Ia  Ia,Ia-norm  sn2004ef-20041212.217-br.flm  20041212.217  84.4 | 99 LRIS  3202.0 - 9320.0 14.6791 Ryan Foley, Alex Filippenko | Ryan Foley  2012MNRAS.425.1789S
SN 2004ef Ia  Ia,Ia-norm  sn2004ef-20040910.310-ui.flm  20040910.31 -5.8 | 6  Kast  3310.0 - 10500.0  40.6756 Alex Filippenko, Mohan Ganeshalingam, Frank Serduke, Jennifer Hoffman | Jeffrey Silverman 2012MNRAS.425.1789S
SN 2004ef Ia  Ia,Ia-norm  sn2004ef-20040924.302-ui.flm  20040924.302  7.8 | 20  Kast  3320.0 - 10500.0  17.2578 Alex Filippenko, Mohan Ganeshalingam, Brandon Swift | Jeffrey Silverman 2012MNRAS.425.1789S
SN 2004ef Ia  Ia,Ia-norm  sn2004ef-20041114-br.flm  20041114.0  57.2 | 71 LRIS  3240.0 - 9400.0 5.87218 Alex Filippenko, Ryan Foley | Ryan Foley  2012MNRAS.425.1789S
SN 2004ef Ia  Ia,Ia-norm  sn2004ef-20041013.373-ui.flm  20041013.373  26.2 | 39 Kast  3704.0 - 10176.0  6.58498 | Thea Steele 2012MNRAS.425.1789S
SN 2004eo Ia  Ia,Ia-norm  sn2004eo-20040924.242-ui.flm  20040924.242  -5.9 | 7  Kast  3320.0 - 10500.0  48.7638 Alex Filippenko, Mohan Ganeshalingam, Brandon Swift | Jeffrey Silverman 2012MNRAS.425.1789S
SN 2004eo Ia  Ia,Ia-norm  sn2004eo-20041114-br.flm  20041114.0  44.3 | 58 LRIS  3050.0 - 9400.0 52.3116 Alex Filippenko, Ryan Foley | Ryan Foley  2012MNRAS.425.1789S
SN 2004eo Ia  Ia,Ia-norm  sn2004eo-20041013.300-ui.flm  20041013.3  12.8 | 26 Kast  3410.0 - 10500.0  33.4611 | Thea Steele 2012MNRAS.425.1789S
SN 2004eq Ia  Ia,Ia-norm  sn2004eq-20041018-br.flm  20041018.0  None | 80 LRIS  3084.0 - 9400.0 52.901  Alex Filippenko, Ryan Foley | Ryan Foley  2012MNRAS.425.1789S
SN 2004ev Ia  Ia,Ia-norm  sn2004ev-20041018-br.flm  20041018.0  None | 12 LRIS  3156.0 - 9400.0 27.0523 Alex Filippenko, Ryan Foley | Ryan Foley  2012MNRAS.425.1789S
SN 2004ey Ia  Ia,Ia-norm  sn2004ey-20041018-br.flm  20041018.0  -7.9 | 4  LRIS  3040.0 - 9400.0 84.2784 Alex Filippenko, Ryan Foley | Ryan Foley  2012MNRAS.425.1789S
SN 2004ey Ia  Ia,Ia-norm  sn2004ey-20041114-br.flm  20041114.0  18.7 | 31 LRIS  3050.0 - 9400.0 63.4466 Alex Filippenko, Ryan Foley | Ryan Foley  2012MNRAS.425.1789S
SN 2004ey Ia  Ia,Ia-99aa,Ia-norm  sn2004ey-20041217.103-ui.flm  20041217.103  51.2 | 64 Kast  3320.0 - 10600.0  15.4474 Mohan Ganeshalingam, Brandon Swift | Jeffrey Silverman  2012MNRAS.425.1789S
SN 2004fa Ia  Ia,Ia-91bg,Ia-norm  sn2004fa-20041114-br.flm  20041114.0  None | 70 LRIS  3180.0 - 9400.0 13.2476 Alex Filippenko, Ryan Foley | Ryan Foley  2012MNRAS.425.1789S
SN 2004fd Ia  Ia,Ia-norm  sn2004fd-20041114-br.flm  20041114.0  None | 24 LRIS  3064.0 - 9400.0 66.4417 Alex Filippenko, Ryan Foley | Ryan Foley  2012MNRAS.425.1789S
SN 2004fd Ia  Ia,Ia-norm  sn2004fd-20041217.291-ui.flm  20041217.291  None | 57 Kast  3330.0 - 10392.0  18.9154 Mohan Ganeshalingam, Brandon Swift | Jeffrey Silverman  2012MNRAS.425.1789S
SN 2004fg Ia  Ia,Ia-99aa,Ia-norm  sn2004fg-20041114-br.flm  20041114.0  None | 14 LRIS  3094.0 - 9400.0 46.5171 Alex Filippenko, Ryan Foley | Ryan Foley  2012MNRAS.425.1789S
SN 2004fu Ia  Ia,Ia-norm  sn2004fu-20041119-ui.flm  20041119.0  3.0 | 15  Kast  3320.0 - 10500.0  57.6015 Alex Filippenko, Mohan Ganeshalingam, Frank Serduke | Douglas Leonard 2012MNRAS.425.1789S
SN 2004fu Ia  Ia,Ia-norm  sn2004fu-20041212.192-br.flm  20041212.192  25.8 | 38 LRIS  3150.0 - 9320.0 76.1914 Ryan Foley, Alex Filippenko | Ryan Foley  2012MNRAS.425.1789S
SN 2004fu Ia  Ia,Ia-norm  sn2004fu-20041114-br.flm  20041114.0  -2.0 | 10 LRIS  3050.0 - 9400.0 79.8939 Alex Filippenko, Ryan Foley | Ryan Foley  2012MNRAS.425.1789S
SN 2004fw Ia  Ia,Ia-norm  sn2004fw-20041114-br.flm  20041114.0  None | 8  LRIS  3102.0 - 9400.0 37.9214 Alex Filippenko, Ryan Foley | Ryan Foley  2012MNRAS.425.1789S
SN 2004fy Ia  Ia,Ia-norm  sn2004fy-20041212.569-br.flm  20041212.569  None | 32 LRIS  3326.0 - 9320.0 20.8189 Ryan Foley, Alex Filippenko | Ryan Foley  2012MNRAS.425.1789S
SN 2004fy Ia  Ia,Ia-norm  sn2004fy-20041114-br.flm  20041114.0  None | 4  LRIS  3164.0 - 9400.0 41.5568 Alex Filippenko, Ryan Foley | Ryan Foley  2012MNRAS.425.1789S
SN 2004fz Ia  Ia,Ia-norm  sn2004fz-20041119-ui.flm  20041119.0  None | 5  Kast  3320.0 - 10500.0  56.6579 Alex Filippenko, Mohan Ganeshalingam, Frank Serduke | Douglas Leonard 2012MNRAS.425.1789S
SN 2004fz Ia  Ia,Ia-norm  sn2004fz-20041212.463-br.flm  20041212.463  None | 28 LRIS  3300.0 - 9320.0 70.3886 Ryan Foley, Alex Filippenko | Ryan Foley  2012MNRAS.425.1789S
SN 2004fz Ia  Ia,Ia-norm  sn2004fz-20041217.262-ui.flm  20041217.262  None | 33 Kast  3320.0 - 10600.0  40.6321 Mohan Ganeshalingam, Brandon Swift | Jeffrey Silverman  2012MNRAS.425.1789S
SN 2004gc Ia  Ia,Ia-norm  sn2004gc-20041217.387-ui.flm  20041217.387  31.0 | 29 Kast  3362.0 - 10258.0  22.0578 Mohan Ganeshalingam, Brandon Swift | Jeffrey Silverman  2012MNRAS.425.1789S
SN 2004gl Ia  Ia,Ia-norm  sn2004gl-20041212.543-br.flm  20041212.543  None | 21 LRIS  3264.0 - 9320.0 19.456  Ryan Foley, Alex Filippenko | Ryan Foley  2012MNRAS.425.1789S
SN 2004go Ia  Ia,Ia-91bg,Ia-norm  sn2004go-20041217.238-ui.flm  20041217.238  None | 29 Kast  3320.0 - 10600.0  10.9769 Mohan Ganeshalingam, Brandon Swift | Jeffrey Silverman  2012MNRAS.425.1789S
SN 2004gs Ia  Ia,Ia-norm  sn2004gs-20041217.447-ui.flm  20041217.447  1.0 | 5 Kast  3354.0 - 10324.0  35.6033 Mohan Ganeshalingam, Brandon Swift | Jeffrey Silverman  2012MNRAS.425.1789S
SN 2004gu Ia  Ia,Ia-norm  sn2004gu-20041217.539-ui.flm  20041217.539  -5.7 | 4  Kast  3420.0 - 10550.0  17.4225 Mohan Ganeshalingam, Brandon Swift | Jeffrey Silverman  2012MNRAS.425.1789S
SN 2004gw Ia  Ia,Ia-norm,Ia-02cx  sn2004gw-20050212.419-br.flm  20050212.419  None | 47 LRIS  3780.0 - 9250.0 22.7194 Ryan Foley, Alex Filippenko | Ryan Foley  2012MNRAS.425.1789S
SN 2004gw Ia  Ia,Ia-norm,Ia-02cx  sn2004gw-20050115.368-br.flm  20050115.368  None | 19 LRIS  3328.0 - 9250.0 24.4505 Ryan Foley | Jeffrey Silverman  2012MNRAS.425.1789S
SN 2004gz Ia  Ia,Ia-norm  sn2004gz-20050116.522-ui.flm  20050116.522  None | 19 Kast  3308.0 - 10500.0  19.6703 Mohan Ganeshalingam, Frank Serduke | Jeffrey Silverman  2012MNRAS.425.1789S
SN 2005A  Ia  Ia,Ic,Ic-pec,Ia-norm  sn2005a-20050115.357-br.flm 20050115.357  5.9 | 10  LRIS  3386.0 - 9250.0 27.1141 Ryan Foley | Jeffrey Silverman  2012MNRAS.425.1789S
SN 2005F  Ia  Ia,Ia-norm  sn2005f-20050115.373-br.flm 20050115.373  None | 2  LRIS  3354.0 - 9250.0 32.4144 Ryan Foley | Jeffrey Silverman  2012MNRAS.425.1789S
SN 2005G  Ia  Ia,Ia-norm  sn2005g-20050116.468-ui.flm 20050116.468  None | 2  Kast  3306.0 - 10500.0  17.8892 Mohan Ganeshalingam, Frank Serduke | Jeffrey Silverman  2012MNRAS.425.1789S
SN 2005M  Ia  Ia,Ia-91T,Ia-norm sn2005m-20050212.420-br.flm 20050212.42 6.8 | 24  LRIS  3780.0 - 9250.0 60.5025 Ryan Foley, Alex Filippenko | Ryan Foley  2012MNRAS.425.1789S
SN 2005M  Ia  Ia,Ia-norm  sn2005m-20050311.279-br.flm 20050311.279  33.3 | 51 LRIS  3400.0 - 9260.0 50.5804 Ryan Foley, Alex Filippenko | Ryan Foley  2012MNRAS.425.1789S
SN 2005M  Ia  Ia,Ia-99aa  sn2005m-20050201.556-ui.flm 20050201.556  -3.9 | 13 Kast  3318.0 - 10500.0  11.2195 Ryan Foley, Mohan Ganeshalingam, Brandon Swift | Jeffrey Silverman  2012MNRAS.425.1789S
SN 2005M  Ia  Ia,Ia-99aa,Ia-norm  sn2005m-20050307.179-ui.flm 20050307.179  29.4 | 47 Kast  3304.0 - 10500.0  31.211  Mohan Ganeshalingam, Wong, Swift | Jeffrey Silverman  2012MNRAS.425.1789S
SN 2005M  Ia  Ia,Ia-norm  sn2005m-20050211.413-br.flm 20050211.413  5.9 | 23  DEIMOS  5046.0 - 10200.8  34.7792 Alex Filippenko, Ryan Foley | Jeffrey Silverman 2012MNRAS.425.1789S
SN 2005P  Ia-pec  Ia,Ia-norm  sn2005p-20050311.652-br.flm 20050311.652  None | 49 LRIS  3400.0 - 9260.0 10.1435 Ryan Foley, Alex Filippenko | Ryan Foley  2012MNRAS.425.1789S
SN 2005P  Ia-pec  Ia,Ib,Ia-norm,IIb sn2005p-20050511.536-br.flm 20050511.536  None | 110  LRIS  3126.0 - 9350.0 10.4773 Ryan Foley, Alex Filippenko, Ryan Chornock, Pooley | Ryan Foley 2006AJ....132..189J
SN 2005W  Ia  Ia,Ia-norm  sn2005w-20050311.215-br.flm 20050311.215  28.7 | 38 LRIS  3400.0 - 9260.0 72.5217 Ryan Foley, Alex Filippenko | Ryan Foley  2012MNRAS.425.1789S
SN 2005W  Ia  Ia,Ia-norm  sn2005w-20050307.155-ui.flm 20050307.155  24.8 | 34 Kast  3304.0 - 10500.0  33.6198 Mohan Ganeshalingam, Wong, Swift | Jeffrey Silverman  2012MNRAS.425.1789S
SN 2005W  Ia  Ia,Ia-norm  sn2005w-20050211.200-br.flm 20050211.2  1.0 | 10  DEIMOS  5046.0 - 10200.8  26.6748 Alex Filippenko, Ryan Foley | Jeffrey Silverman 2012MNRAS.425.1789S
SN 2005X  Ia  Ia,Ia-norm  sn2005x-20050211.433-br.flm 20050211.433  None | 18 DEIMOS  5046.0 - 10200.8  5.94511 Alex Filippenko, Ryan Foley | Jeffrey Silverman 2012MNRAS.425.1789S
SN 2005ag Ia  Ia,Ia-99aa,Ia-norm  sn2005ag-20050212.596-br.flm  20050212.596  -1.9 | 2  LRIS  3780.0 - 9250.0 13.2818 Ryan Foley, Alex Filippenko | Ryan Foley  2012MNRAS.425.1789S
SN 2005am Ia  Ia,Ia-norm  sn2005am-20050411.163-ui.flm  20050411.163  34.7 | 48 Kast  3310.0 - 10400.0  56.6218 Mohan Ganeshalingam, Diane Wong, Brandon Swift | Douglas Leonard  2012MNRAS.425.1789S
SN 2005am Ia  Ia,Ia-norm,Ia-pec sn2005am-20050417.167-ui.flm  20050417.167  40.7 | 54 Kast  3310.0 - 10400.0  37.9385 Mohan Ganeshalingam, Diane Wong, Brandon Swift | Ryan Foley 2012MNRAS.425.1789S
SN 2005am Ia  Ia,Ia-norm  sn2005am-20050313-v2s.flm 20050313.0  6.0 | 19  Kast  4600.0 - 9800.0 113.129 Mohan Ganeshalingam, Frank Serduke, Sung | Jeffrey Silverman  2012MNRAS.425.1789S
SN 2005am Ia  Ia,Ia-norm  sn2005am-20050311.302-br.flm  20050311.302  4.0 | 17  LRIS  3400.0 - 9260.0 104.539 Ryan Foley, Alex Filippenko | Ryan Foley  2012MNRAS.425.1789S
SN 2005ao Ia  Ia,Ia-99aa,Ia-norm  sn2005ao-20050311.660-br.flm  20050311.66 None | 4  LRIS  3400.0 - 9260.0 35.7972 Ryan Foley, Alex Filippenko | Ryan Foley  2012MNRAS.425.1789S
SN 2005ao Ia  Ia,Ia-99aa,Ia-norm  sn2005ao-20050313.539-ui.flm  20050313.539  None | 6  Kast  3320.0 - 10500.0  26.2209 Mohan Ganeshalingam, Frank Serduke, Sung | Jeffrey Silverman  2012MNRAS.425.1789S
SN 2005as Ia  Ia,II,Ia-91T,Ia-norm  sn2005as-20050311.312-br.flm  20050311.312  None | 49 LRIS  3400.0 - 9260.0 58.7023 Ryan Foley, Alex Filippenko | Ryan Foley  2012MNRAS.425.1789S
SN 2005bc Ia  Ia,Ia-norm  sn2005bc-20050411.474-ui.flm  20050411.474  None | 9  Kast  3310.0 - 10400.0  58.7189 Mohan Ganeshalingam, Diane Wong, Brandon Swift | Douglas Leonard  2012MNRAS.425.1789S
SN 2005bc Ia  Ia,Ia-norm  sn2005bc-20050417.373-ui.flm  20050417.373  None | 15 Kast  3310.0 - 10400.0  40.383  Mohan Ganeshalingam, Diane Wong, Brandon Swift | Ryan Foley 2012MNRAS.425.1789S
SN 2005be Ia  Ia,Ia-norm  sn2005be-20050411.448-ui.flm  20050411.448  10.6 | 6  Kast  3310.0 - 10400.0  25.9248 Mohan Ganeshalingam, Diane Wong, Brandon Swift | Douglas Leonard  2012MNRAS.425.1789S
SN 2005be Ia  Ia,Ia-norm  sn2005be-20050417.403-ui.flm  20050417.403  16.4 | 12 Kast  3310.0 - 10400.0  15.3243 Mohan Ganeshalingam, Diane Wong, Brandon Swift | Ryan Foley 2012MNRAS.425.1789S
SN 2005bl Ia  Ia,Ia-norm,Ia-pec sn2005bl-20050417.214-ui.flm  20050417.214  -5.9 | 3  Kast  3500.0 - 10262.0  4.80668 Mohan Ganeshalingam, Diane Wong, Brandon Swift | Ryan Foley 2012MNRAS.425.1789S
SN 2005bl Ia  Ia,Ia-91bg,Ia-norm  sn2005bl-20050511.401-br.flm  20050511.401  17.6 | 27 LRIS  3126.0 - 9350.0 32.1632 Ryan Foley, Alex Filippenko, Ryan Chornock, Pooley | Ryan Foley 2012MNRAS.425.1789S
SN 2005bo Ia  Ia,Ia-norm  sn2005bo-20050515.289-ui.flm  20050515.289  26.6 | 28 Kast  3350.0 - 10400.0  29.596  Wong, Frank Serduke | Jeffrey Silverman 2012MNRAS.425.1789S
SN 2005bu Ia  Ia,Ia-norm  sn2005bu-20050511.238-br.flm  20050511.238  None | 20 LRIS  3134.0 - 9350.0 24.207  Ryan Foley, Alex Filippenko, Ryan Chornock, Pooley | Ryan Foley 2012MNRAS.425.1789S
SN 2005cf Ia  Ia,Ia-norm  sn2005cf-20050701.214-ui.flm  20050701.214  18.9 | 34 Kast  3400.0 - 10400.0  55.9851 Mohan Ganeshalingam, Wong | Jeffrey Silverman 2009ApJ...697..380W
SN 2005cf Ia  Ia,Ia-norm  sn2005cf-20050601.385-ui.flm  20050601.385  -10.9 | 4 Kast  3310.0 - 10550.0  60.756  Mohan Ganeshalingam, Wong, Swift | Jeffrey Silverman  2009ApJ...697..380W
SN 2005cf Ia  Ia,Ia-norm  sn2005cf-20050610.277-ui.flm  20050610.277  -2.0 | 13 Kast  3308.0 - 10500.0  51.3849 Mohan Ganeshalingam, Frank Serduke | Jeffrey Silverman  2009ApJ...697..380W
SN 2005cf Ia  Ia,Ia-norm  sn2005cf-20050611.205-ui.flm  20050611.205  -1.0 | 14 Kast  3308.0 - 10500.0  58.0499 Frank Serduke | Jeffrey Silverman 2009ApJ...697..380W
SN 2005cf Ia  Ia,Ia-norm  sn2005cf-20050710.221-ui.flm  20050710.221  27.8 | 43 Kast  3314.0 - 10424.0  47.2623 Alex Filippenko, Frank Serduke, Park | Jeffrey Silverman  2009ApJ...697..380W
SN 2005cf Ia  Ia,Ia-norm  sn2005cf-20060427.603-br.flm  20060427.603  317.0 | 334 LRIS  3242.0 - 9250.0 4.26974 Alex Filippenko, Ryan Foley | Jeffrey Silverman 2009ApJ...697..380W
SN 2005cf Ia  NoMatch,NoMatch sn2005cf-20070216.617-deimos.flm  20070216.617  610.1 | 629 DEIMOS  4600.0 - 7237.99  2.38816 Alex Filippenko, Ryan Foley, Jeffrey Silverman, Ryan Chornock | Ryan Foley  2009ApJ...697..380W
SN 2005de Ia  Ia,Ia-norm  sn2005de-20050911.236-ui.flm  20050911.236  None | 40 Kast  3350.0 - 10400.0  32.8245 Frank Serduke, Wong, Shimasaki | Jeffrey Silverman  2012MNRAS.425.1789S
SN 2005de Ia  Ia,Ia-norm  sn2005de-20050815.340-ui.flm  20050815.34 None | 13 Kast  3304.0 - 10376.0  32.542  Alex Filippenko, Frank Serduke, Park | Jeffrey Silverman  2012MNRAS.425.1789S
SN 2005de Ia  Ia,Ia-norm  sn2005de-20050826.350-ui.flm  20050826.35 None | 24 Kast  3306.0 - 10370.0  42.4469 Frank Serduke, Scala, Blum | Jeffrey Silverman  2012MNRAS.425.1789S
SN 2005de Ia  Ia,Ia-norm  sn2005de-20050926.205-ui.flm  20050926.205  None | 55 Kast  3306.0 - 10500.0  20.0584 Wong,Park,Shimasaki | Jeffrey Silverman 2012MNRAS.425.1789S
SN 2005dh Ia  Ia,Ia-91bg,Ia-norm  sn2005dh-20050815.313-ui.flm  20050815.313  None | 5  Kast  3304.0 - 10374.0  11.4879 Alex Filippenko, Frank Serduke, Park | Jeffrey Silverman  2012MNRAS.425.1789S
SN 2005dh Ia  Ia,Ia-91bg  sn2005dh-20050826.267-ui.flm  20050826.267  None | 16 Kast  3304.0 - 10370.0  22.591  Frank Serduke, Scala, Blum | Jeffrey Silverman  2012MNRAS.425.1789S
SN 2005di Ia  Ia,Ia-norm  sn2005di-20050826.406-ui.flm  20050826.406  None | 14 Kast  3308.0 - 10370.0  3.79224 Frank Serduke, Scala, Blum | Jeffrey Silverman  2012MNRAS.425.1789S
SN 2005dm Ia  Ia,Ia-91bg  sn2005dm-20050902.420-ui.flm  20050902.42 None | 7  Kast  3342.0 - 10500.0  32.2804 Moore,Serduke | Jeffrey Silverman 2012MNRAS.425.1789S
SN 2005do Ia  Ia,Ia-norm  sn2005do-20050826.480-ui.flm  20050826.48 None | 18 Kast  3450.0 - 10300.0  15.2636 Frank Serduke, Scala, Blum | Jeffrey Silverman  2012MNRAS.425.1789S
SN 2005dv Ia  Ia,Ia-norm  sn2005dv-20050911.170-ui.flm  20050911.17 -1.0 | 7  Kast  3350.0 - 10400.0  20.5369 Frank Serduke, Wong, Shimasaki | Jeffrey Silverman  2012MNRAS.425.1789S
SN 2005ec Ia  Ia,Ic,Ic-norm,Ia-91bg sn2005ec-2-20050926.523-ui.flm  20050926.523  None | 10 Kast  3306.0 - 10500.0  49.6816 Wong,Park,Shimasaki | Jeffrey Silverman 2012MNRAS.425.1789S
SN 2005ej Ia  Ia,Ia-norm  sn2005ej-20051007.224-br.flm  20051007.224  None | 14 LRIS  3270.0 - 9330.0 41.2715 Ryan Foley, Thomas Matheson, Alex Filippenko | Ryan Foley 2012MNRAS.425.1789S
SN 2005ej Ia  Ia,Ia-norm  sn2005ej-20050926.237-ui.flm  20050926.237  None | 3  Kast  3306.0 - 10500.0  6.19745 Wong,Park,Shimasaki | Jeffrey Silverman 2012MNRAS.425.1789S
SN 2005ej Ia  Ia,Ia-norm  sn2005ej-20051011.152-ui.flm  20051011.152  None | 18 Kast  3322.0 - 10500.0  22.0198 Alex Filippenko, Mohan Ganeshalingam, Moore | Jeffrey Silverman 2012MNRAS.425.1789S
SN 2005el Ia  Ia,Ia-norm  sn2005el-20050926.496-ui.flm  20050926.496  -6.9 | 1  Kast  3306.0 - 10500.0  58.1867 Wong,Park,Shimasaki | Jeffrey Silverman 2012MNRAS.425.1789S
SN 2005el Ia  Ia,Ia-norm  sn2005el-20051004.534-ui.flm  20051004.534  1.0 | 9 Kast  3318.0 - 10500.0  49.8007 Moore, Ganesh | Jeffrey Silverman 2012MNRAS.425.1789S
SN 2005el Ia  Ia,Ia-norm  sn2005el-20051011.512-ui.flm  20051011.512  7.9 | 16  Kast  3320.0 - 10500.0  55.8351 Alex Filippenko, Mohan Ganeshalingam, Moore | Jeffrey Silverman 2012MNRAS.425.1789S
SN 2005eq Ia-pec  Ia,Ia-99aa,Ia-norm  sn2005eq-20051007.633-br.flm  20051007.633  -3.9 | 7  LRIS  3270.0 - 9330.0 91.6476 Ryan Foley, Thomas Matheson, Alex Filippenko | Ryan Foley 2012MNRAS.425.1789S
SN 2005eq Ia-pec  Ia,Ia-99aa,Ia-norm  sn2005eq-20051004.512-ui.flm  20051004.512  -6.8 | 4  Kast  3322.0 - 10500.0  13.6868 Moore, Ganesh | Jeffrey Silverman 2012MNRAS.425.1789S
SN 2005eq Ia-pec  Ia,Ia-99aa,Ia-norm  sn2005eq-20051011.376-ui.flm  20051011.376  0.0 | 11  Kast  3320.0 - 10500.0  45.1059 Alex Filippenko, Mohan Ganeshalingam, Moore | Jeffrey Silverman 2012MNRAS.425.1789S
SN 2005eq Ia-pec  Ia,Ia-99aa,Ia-norm  sn2005eq-20051202.343-deimos.flm  20051202.343  50.5 | 63 DEIMOS  3881.85 - 9069.5  37.691  Alex Filippenko, Ryan Foley | Ryan Foley  2012MNRAS.425.1789S
SN 2005er Ia-pec  Ia,Ia-91bg  sn2005er-20051007.213-br.flm  20051007.213  None | 8  LRIS  3270.0 - 9330.0 52.8825 Ryan Foley, Thomas Matheson, Alex Filippenko | Ryan Foley 2012MNRAS.425.1789S
SN 2005er Ia-pec  Ia,Ia-91bg  sn2005er-20051011.291-ui.flm  20051011.291  None | 12 Kast  3320.0 - 10500.0  13.228  Alex Filippenko, Mohan Ganeshalingam, Moore | Jeffrey Silverman 2012MNRAS.425.1789S
SN 2005er Ia-pec  Ia,Ia-91bg  sn2005er-20051005.229-deimos.flm  20051005.229  None | 6  DEIMOS  4901.45 - 10073.5 32.3215 Alex Filippenko, Ryan Foley, Thomas Matheson | Ryan Foley 2012MNRAS.425.1789S
SN 2005eu Ia  Ia,Ia-99aa,Ia-norm  sn2005eu-20051007.622-br.flm  20051007.622  -9.7 | 3  LRIS  3270.0 - 9330.0 69.4282 Ryan Foley, Thomas Matheson, Alex Filippenko | Ryan Foley 2012MNRAS.425.1789S
SN 2005eu Ia  Ia,Ia-norm  sn2005eu-20051011.350-ui.flm  20051011.35 -5.8 | 7  Kast  3320.0 - 10500.0  36.5788 Alex Filippenko, Mohan Ganeshalingam, Moore | Jeffrey Silverman 2012MNRAS.425.1789S
SN 2005eu Ia  Ia,Ia-99aa,Ia-norm  sn2005eu-20051202.475-deimos.flm  20051202.475  44.4 | 59 DEIMOS  3877.3 - 9069.5 30.5426 Alex Filippenko, Ryan Foley | Ryan Foley  2012MNRAS.425.1789S
SN 2005eu Ia  Ia,Ia-99aa,Ia-norm  sn2005eu-20051006.584-deimos.flm  20051006.584  -10.6 | 2 DEIMOS  4922.25 - 10080.0 43.2611 Foley, Matheson | Ryan Foley  2012MNRAS.425.1789S
SN 2005ew Ia  Ia,Ia-99aa,Ia-norm  sn2005ew-20051011.536-ui.flm  20051011.536  17.9 | 7  Kast  3320.0 - 10500.0  82.8169 Alex Filippenko, Mohan Ganeshalingam, Moore | Jeffrey Silverman 2012MNRAS.425.1789S
SN 2005ew Ia  Ia,Ic,Ia-norm,Ic-broad  sn2005ew-20051102.402-ui.flm  20051102.402  39.9 | 29 Kast  3326.0 - 10560.0  8.33914 Wong, Frank Serduke | Jeffrey Silverman 2012MNRAS.425.1789S
SN 2005gj Ia-pec  Ia,Ia-csm,Ia-norm sn2005gj-20051204.377-br.flm  20051204.377  None | 69 LRIS  3280.0 - 9320.0 68.2614 Alex Filippenko, Ryan Foley, Thomas Matheson, Josh Bloom, Katey Alatalo | Ryan Foley  2012MNRAS.425.1789S
SN 2005gj Ia-pec  Ia,Ia-csm,Ia-norm sn2005gj-20051202.403-deimos.flm  20051202.403  None | 67 DEIMOS  3897.45 - 9069.5  58.5665 Alex Filippenko, Ryan Foley | Ryan Foley  2012MNRAS.425.1789S
SN 2005gj Ia-pec  Ia,Ia-csm,IIP sn2005gj-20060101.388-deimos.flm  20060101.388  None | 97 DEIMOS  3900.0 - 9061.0 47.6071 Ryan Foley | Ryan Foley 2012MNRAS.425.1789S
SN 2005gj Ia-pec  II,Ia,Ia-csm,IIP  sn2005gj-20061223.420-deimos.flm  20061223.42 None | 453  DEIMOS  4483.2 - 9574.0 8.62512 Ryan Foley, Alex Filippenko | Ryan Foley  2012MNRAS.425.1789S
SN 2005gj Ia-pec  II,IIn,IIP  sn2005gj-20070214.275-br.flm  20070214.275  None | 506  LRIS  3206.0 - 9238.0 6.54068 Alex Filippenko, Ryan Foley, Jeffrey Silverman, Ryan Chornock | Ryan Chornock 2012MNRAS.425.1789S
SN 2005hc Ia  Ia,Ia-91T,Ia-norm sn2005hc-20051108.465-deimos.flm  20051108.465  14.4 | 27 DEIMOS  4900.0 - 10061.0  7.70367 Ryan Foley, Alex Filippenko | Ryan Foley  2012MNRAS.425.1789S
SN 2005hj Ia  Ia,Ia-99aa,Ia-norm  sn2005hj-20051108.457-deimos.flm  20051108.457  7.6 | 13  DEIMOS  4900.0 - 10061.0  22.4702 Ryan Foley, Alex Filippenko | Ryan Foley  2012MNRAS.425.1789S
SN 2005hk Ia  Ia,Ia-norm,Ia-02cx  sn2005hk-20051204.301-br.flm  20051204.301  None | 35 LRIS  3280.0 - 9320.0 41.3802 Alex Filippenko, Ryan Foley, Thomas Matheson, Josh Bloom, Katey Alatalo | Ryan Foley  2007PASP..119..360P
SN 2005hk Ia  Ia,Ia-02cx  sn2005hk-20051105-br.flm  20051105.0  None | 6  LRIS  3170.5 - 9240.0 173.286 Alex Filippenko, Ryan Foley | Ryan Chornock 2006PASP..118..722C
SN 2005hk Ia  NoMatch,NoMatch sn2005hk-20051102.206-ui.flm  20051102.206  None | 3  Kast  3326.0 - 10560.0  20.6459 Wong, Frank Serduke | Jeffrey Silverman 2006PASP..118..722C
SN 2005hk Ia  Ia,Ia-91bg,Ia-norm  sn2005hk-20060124.142-ir.flm  20060124.142  None | 86 Kast  5176.0 - 10600.0  7.54194 Frank Serduke, Blum, Scala | Jeffrey Silverman  2012MNRAS.425.1789S
SN 2005hk Ia  II,IIn  sn2005hk-20061123.234-br.flm  20061123.234  None | 389  LRIS  3162.0 - 9250.0 3.33872 Alex Filippenko, Ryan Foley | Ryan Foley  2012MNRAS.425.1789S
SN 2005hk Ia  Ia,Ia-norm,Ia-02cx  sn2005hk-20051202.756-deimos.flm  20051202.756  None | 33 DEIMOS  3881.85 - 10076.8 38.853  Alex Filippenko, Ryan Foley | Ryan Foley  2012MNRAS.425.1789S
SN 2005hk Ia  Ia,Ia-norm,Ia-02cx  sn2005hk-20060101.221-deimos.flm  20060101.221  None | 63 DEIMOS  3900.0 - 9061.0 31.5515 Ryan Foley | Ryan Foley 2012MNRAS.425.1789S
